zts1e	Nouveau objet
zts1291e	NotUse
zts1292e	Cet objet permet de construire des maisons moyennes au Mini-pays.[n]Les HP maximums de ton partenaire augmente de 1 000.[n][n]
zts1293e	Cabane de jardin
zts1294e	Cet objet permet de construire de grandes maisons au Mini-pays.[n]Les HP maximums de ton partenaire augmente de 2 000.[n][n]
zts1295e	Peut construire une maison en rondins rouge [n]Peut utiliser 30 emplacements dans l'entrepôt.[n]L'entrepôt peut être partagé dans un même compte.[n][n]
zts1296e	Lanterne en fer antique
zts1297e	La lampe en fer [n] Rend le caractère sentimental [n][n]
zts1298e	Lanterne en bronze antique
zts1299e	Arbre à la mode avec des fruits magenta
zts1300e	Arbre à la mode avec fruits roses
zts1301e	Entrepôt géant (30 jours)
zts1302e	56 emplacements.[n]Peut être utilisé pendant 30 jours[n]après avoir été installé dans le Mini-pays.[n]Sert à conserver et échanger des objets[n]entre les personnages d'un même compte.[n](Chaque personnage doit posséder un entrepôt.)[n]Une fois le temps écoulé,[n] l'entrepôt disparaît.[n]Les objets doivent donc être[n]déplacés à temps pour[n]ne pas être perdus.[n][n]
zts1303e	Arbre de Noël
zts1304e	Décoration de Noël
zts1305e	Mélodie du printemps
zts1306e	Mélodie de l'été
zts1307e	Mélodie de l'automne
zts1308e	Mélodie de l'hiver
zts1309e	Longue épée des gardes
zts1310e	Collier extraordinaire
zts1311e	Dague rare
zts1312e	Épée rare
zts1313e	Baguette magique rare
zts1314e	Collier de chien de l'enfer
zts1315e	Amulette du fantôme
zts1316e	Tablette noire
zts1317e	Paquet de cigarettes du capitaine Lance
zts1318e	Herbe odorante
zts1319e	Eau étincelante
zts1320e	Fleur mandragore
zts1321e	Parfum de chasse
zts1322e	Filet à fouineurs
zts1323e	Poudre magique
zts1324e	Coeur brûlant du slade flambant
zts1325e	Rubis rouge
zts1326e	Petit rubis rouge
zts1327e	Fruit d'arbre en fleur
zts1328e	Moustache de taupe
zts1329e	Masque super
zts1330e	Pantalon magique
zts1331e	Super manteau
zts1332e	Super arme de charme
zts1333e	Coffre au trésor
zts1334e	Sculpture du tourbillon
zts1335e	Bouteille de calebasse noire
zts1336e	Gomme de chien noir
zts1337e	Poudre noire
zts1339e	Perle des Kenkos
zts1340e	Amulette de l'âme
zts1341e	Branche de la pureté
zts1342e	Branche sacrée
zts1343e	Blé
zts1344e	Minerai de fer
zts1345e	Fouineur
zts1346e	Trace suspecte
zts1347e	Bouton de Blocage
zts1348e	Bouton de blocage (après utilisation)
zts1349e	Porte 1
zts1351e	Porte 2
zts1352e	Porte 3
zts1353e	Avec cet objet, la probabilité de réussir un pari augmente de 10 %.[n]Et en cas d'échec, ton équipement ne sera pas détruit.[n]Cet objet est utilisable pour les armes et armures normales.[n](Jusqu'à 3 utilisations)[n][Attention][n]Il est impossible de parier sur de l'équipement héroïque avec cet objet.[n]
zts1354e	Avec cet objet, ton équipement sera protégé en cas d'échec lors d'un pari.[n]Cet objet est utilisable pour les armes et armures normales.[n](Jusqu'à 3 utilisations)[n][Attention][n]Il est impossible de parier sur de l'équipement héroïque avec cet objet.[n]
zts1355e	Médaille de l'évènement du partenaire secret[n]Les points d'EXP augmentent de 5 %.[n]Les points des membres de groupe augmentent de 5 %.[n]Peut être utilisé pendant 10 jours[n][n]
zts1356e	Espace-temps d'entraînement[n]L'entrée est possible immédiatement.[n][n]
zts1358e	Points d'expérience au combat augmentent de 30%. [n] Points d'expérience au travail augmentent de 30%. [n] Points d'expérience de l'animal domestique et du partenaire augmentent de 30%. [n] Or obtenu augmente de 20%. [n] (Peut être utilisé pendant 3 jours.) [n][n]
zts1359e	Ruban
zts1360e	Objets pour la Saint-Valentin [n][n]
zts1361e	Paquet-cadeau
zts1362e	Cadeau de Saint-Valentin
zts1363e	Oeuf cuit dans la magie
zts1364e	Chocolat
zts1365e	Médaille de Mimi
zts1366e	Cet objet de quête est nécessaire pour utiliser des objets spécifiques.[n]Alors, conserve-le ![n][n]
zts1367e	Une fois utilisée, elle donne l'apparence d'un soldat Kenko [n] pour tromper l'ennemi. [n] Utilisée pour une quête, alors garde la !
zts1368e	Carte de spécialiste poule
zts1369e	Entonnoir aspirant
zts1370e	Réduis le Hp des soldats Kenko jusqu´à couleur rouge [n] et double clic. [n] Peut être utilisé pour un objet qu´une seule fois [n] Si c´est un succès, tu peux obtenir la perle de mirage. [n][n]
zts1371e	Ambre jaune de Lumière
zts1372e	Ambre jaune d'Obscurité
zts1373e	Ambre jaune d'Eau
zts1374e	Ambre jaune de Feu
zts1375e	Sceau du roi poulet
zts1376e	Marqueur PNJ
zts1377e	Ce poussin inflige 50 % de dégâts supplémentaires contre le roi poulet.[n]Il ne porte aucun élément spécifique et volète sans cesse.[n][n]
zts1380e	Commence le raid du roi poulet dans le Poulailler de NosVille.[n]Niveau recommandé : 20-99[n][Mode d'emploi][n]Cet objet fait de toi le chef d'équipe.[n]Une fois chef d'équipe, choisis d'autres joueurs[n]et clique sur le bouton « Équipe ».[n]Quand tout est prêt, va à l'entrée du raid.[n]Lorsque le chef entre,[n]les autres joueurs le suivent automatiquement.[n][Attention][n]Les joueurs d'un niveau supérieur au niveau recommandé[n]peuvent participer au raid, mais ils sont pénalisés[n]et ne peuvent pas recevoir de coeur supplémentaire[n]ou de boîte de raid (et ce, même en cas de réussite).[n][n]
zts1381e	Bonbon
zts1382e	Paquet-cadeau du jour blanc
zts1383e	Augmente temporairement les HP et MP[n]Soigne les NosMates et partenaires[n]Restaure en plus les HP en partie[n][n]
zts1384e	Jus de fruits
zts1385e	Argile collante
zts1386e	Statue de l'os brillant
zts1387e	Brique
zts1388e	Plante
zts1389e	Bêche
zts1390e	Carte au trésor
zts1391e	Masque de chien brave
zts1392e	Chapeau en plastique brillant
zts1393e	Pioche
zts1394e	Cailloutis scintillant
zts1395e	Miroir à main
zts1396e	Masque rouge
zts1397e	Tissu rouge
zts1398e	Dent d'une bête
zts1399e	Vase précieux
zts1400e	Morceaux d'une lettre
zts1401e	Clé en diamant noire
zts1402e	Marteau de la Peine
zts1403e	[n][n]
zts1404e	Carte Jajamaru scellée
zts1405e	Perle scellée de Sakura
zts1406e	Perle de la Princesse Sakura
zts1407e	Carte Jajamaru
zts1408e	Parchemin protecteur d'équipement
zts1409e	En l'utilisant, tu peux immédiatement améliorer ou parier des objets.[n]En cas d'échec, l'équipement ne disparaît pas et ne se détériore pas.[n]Mode d'emploi[n]Double-clique dessus pour activer la protection.[n]Double-clique à nouveau pour désactiver la protection[n](le parchemin ne sera alors pas utilisé).[n]Si tu améliores ou paries un objet en mode de protection,[n] un parchemin protecteur sera utilisé.
zts1410e	Parchemin de libération
zts1411e	Cet objet peut renforcer l'équipement de niveau fixe.[n]Double-clique sur le parchemin et sélectionne un objet pour libérer son niveau.[n]
zts1412e	Marteau immense
zts1413e	Essence d'esprit
zts1414e	Poussière de fées
zts1415e	Cristal des âmes
zts1416e	Épingle à cheveux de Sakura
zts1417e	Pierre en forme de chapeau
zts1418e	Sceau de Namaju
zts1419e	Porte de la pierre tombale
zts1420e	Pierre brillante
zts1421e	Coffre d'évènement N.O.S.
zts1422e	En ouvrant le coffre d'évènement, tu recevras un objet au hasard.[n][n]
zts1423e	Le niveau d'équipement fixe est amélioré.[n]Double-clique sur le parchemin, puis clique sur l'objet[n]pour débloquer immédiatement le niveau.[n][n]
zts1424e	C'est un objet pour l'évènement de l'alphabet.[n]L'utiliser permet d'augmenter lentement les HP de 1 000.[n]Collecte l'ABC[n]et remets-le à un PNJ précis[n]pour recevoir le coffre au trésor.[n]Cet objet disparaîtra à la fin de l'évènement.[n][n]
zts1425e	C'est un objet pour l'évènement de l'alphabet.[n]L'utiliser permet d'augmenter lentement les MP de 1 000.[n]Collecte l'ABC[n]et remets-le à un PNJ précis[n]pour recevoir le coffre au trésor.[n]Cet objet disparaîtra à la fin de l'évènement.[n][n]
zts1426e	C'est un objet pour l'évènement de l'alphabet.[n]L'utiliser permet d'augmenter lentement les HP et MP de 1 000.[n]Collecte l'ABC[n]et remets-le à un PNJ précis[n]pour recevoir le coffre au trésor.[n]Cet objet disparaîtra à la fin de l'évènement.[n][n]
zts1427e	Quand le sceau est cassé, [n]elle devient une carte Jajamaru.
zts1428e	Quand le sceau est cassé, [n] il se change dans une perle de la princesse Sakura. [n]
zts1429e	Quand le sceau est cassé, [n]elle devient une carte Jajamaru.
zts1430e	Une fois le sceau brisé,[n]il se transforme en perle de la princesse Sakura.[n]
zts1431e	Carte de spécialiste : élément Feu[n][n]Retour d'une légende ![n]Jajamaru débarque à NosTale[n]pour sauver la princesse Sakura ![n]
zts1432e	Objet de quête[n]Double-clique dessus pour entrer[n]immédiatement dans l'espace-temps.[n][n]
zts1433e	Retour de la légende!! [n] Jajamaru vient à NosTale [n] pour sauver la Princesse Sakura!! [n]
zts1434e	Sceau du Raid de Namaju
zts1435e	Commence le raid de Namaju dans la villa de Namaju, au nord de NosVille.[n]Niveau recommandé : 50-99[n][Mode d'emploi][n]Cet objet fait de toi le chef d'équipe.[n]Une fois chef d'équipe, choisis d'autres joueurs[n]et clique sur le bouton « Équipe ».[n]Quand tout est prêt, va à l'entrée du raid.[n]Lorsque le chef entre,[n]les autres joueurs le suivent automatiquement.[n][Attention][n]Les joueurs d'un niveau supérieur au niveau recommandé[n]peuvent participer au raid, mais ils sont pénalisés[n]et ne peuvent pas recevoir de coeur supplémentaire[n]ou de boîte de raid (et ce, même en cas de réussite).[n][n]
zts1436e	Boîte à énigmes
zts1437e	Commence le raid de Namaju dans la villa de Namaju, au nord de NosVille.[n]Niveau recommandé : 50-99[n][Mode d'emploi][n]Cet objet fait de toi le chef d'équipe.[n]Une fois chef d'équipe, choisis d'autres joueurs[n]et clique sur le bouton « Équipe ».[n]Quand tout est prêt, va à l'entrée du raid.[n]Lorsque le chef entre,[n]les autres joueurs le suivent automatiquement.[n][Attention][n]Les joueurs d'un niveau supérieur au niveau recommandé[n]peuvent participer au raid, mais ils sont pénalisés[n]et ne peuvent pas recevoir de coeur supplémentaire[n]ou de boîte de raid (et ce, même en cas de réussite).[n][n]
zts1438e	Application pour pays, conquête ou bataille
zts1439e	NotUse
zts1440e	Avec cet objet, tu peux participer à la NosDanse du Mini-pays.
zts1441e	Chapeau de chat
zts1442e	Chapeau d'âne
zts1443e	Son utilisation protège, selon une certaine probabilité, du cri de mandragore.[n][n]
zts1444e	Chapeau de cow-boy
zts1445e	Chapeau de singe
zts1446e	Cet objet protège avec une forte probabilité des syncopes.[n][n]
zts1447e	Cornes d'antilope
zts1448e	Chapeau de volubilis
zts1449e	Chapeau de pingouin
zts1450e	Vieux chapeau de gentleman
zts1451e	Serre-tête à oreilles
zts1452e	Chapeau pot de fleur
zts1453e	Clé endommagée
zts1454e	Diamant noir
zts1455e	Cuisse de poulet
zts1456e	L'utiliser déclenche l'un des effets suivants :[n]augmentation des HP, augmentation des MP, augmentation des points SP ou aucun changement.[n]Tu peux échanger 10 de ces objets et 2 000 pièces d'or[n]contre 1 sceau des herbins auprès d'Eva Energy.[n]Cet objet disparaîtra à la fin de l'évènement.[n][n]
zts1457e	Bambou
zts1458e	Sac odorant
zts1459e	Riz
zts1460e	Sceau pour évènement de vacances
zts1462e	Croquettes spéciales
zts1463e	Donne-la à manger à ton animal domestique[n]et il pourra ramasser automatiquement[n] les objets au sol.[n] Tous les objets qu'il ramassera[n]se retrouveront dans l'inventaire. Cette fonction[n] ne peut être activée que pour les NosMates[n]qui te suivent. Si [n] l'animal est pris au piège dans une perle,[n] l'effet sera désactivé.[n][n]
zts1464e	Équipe-toi de cet objet pour ne pas être affecté par le poison du géant brumeux.[n]Cet objet est à utiliser pour une quête, alors conserve-le bien soigneusement ![n][n]
zts1465e	Commence le raid à NosVille.[n]Niveau recommandé : 50-99[n][Mode d'emploi][n]Cet objet fait de toi le chef d'équipe.[n]Une fois chef d'équipe, choisis d'autres joueurs[n]et clique sur le bouton « Équipe ».[n]Quand tout est prêt, va à l'entrée du raid.[n]Lorsque le chef entre,[n]les autres joueurs le suivent automatiquement.[n][Attention][n]Les joueurs d'un niveau supérieur au niveau recommandé[n]peuvent participer au raid, mais ils sont pénalisés[n]et ne peuvent pas recevoir de coeur supplémentaire[n]ou de boîte de raid (et ce, même en cas de réussite).[n][n]
zts1466e	Ne peut pas être échangé entre joueurs. [n]
zts1467e	Son utilisation protège, selon une certaine probabilité, du cri de mandragore.[n][n] Cet objet ne peut pas être échangé entre joueurs.[n]
zts1468e	Cet objet protège avec une forte probabilité des syncopes.[n]L'objet ne peut pas être échangé entre joueurs.[n][n]
zts1469e	Son utilisation protège des saignements.[n]Ne peut pas être échangé entre joueurs. [n]
zts1470e	Ne peut pas être échangé entre joueurs. [n][n]
zts1471e	Son utilisation protège, selon une certaine probabilité, du cri de mandragore.[n]Cet objet ne peut pas être échangé entre joueurs.[n]
zts1472e	Son utilisation protège des saignements.[n]Ne peut pas être échangé entre joueurs.[n]
zts1473e	Perle de fée des herbins
zts1474e	Si tu as une fée des herbins comme NosMate,[n]celle-ci n'a pas besoin de nourriture[n](mais elle consomme des MP).[n]
zts1475e	Si tu as une fée des herbins comme NosMate,[n]celle-ci n'a pas besoin de nourriture[n](mais elle consomme des MP).[n]
zts1476e	Potion de rédemption
zts1477e	Régénère le personnage[n] quand il meurt dans la Terre de la Mort
zts1478e	Téléporteur au crépuscule
zts1479e	Cet objet te téléporte au Pic du crépuscule où se trouve le portail de la Terre des morts.[n][n]
zts1480e	Régénère le personnage[n] quand il meurt dans la Terre de la Mort
zts1481e	Inscription à la bataille de l'arc-en-ciel
zts1482e	Cet objet te téléporte au Pic du crépuscule où se trouve le portail de la Terre des morts.
zts1483e	Forme le groupe qui participe à la bataille de l'arc-en-ciel.[n]Ne peut être utilisée que par les têtes de famille et les assistants de famille.[n]Le personnage qui l'utilise devient le chef de la force d'attaque.[n]Le chef invite les autres[n]et ils deviennent des membres de la force d'attaque.[n]Pose ta candidature au Cercle du Temps pour[n]rejoindre la bataille quand elle commence.[n][n]
zts1484e	Entrepôt géant (permanent)
zts1485e	Possibilité d'utiliser les 56 emplacements, s'il est bâti dans le Mini-pays.[n]Peut être utilisé indéfiniment.
zts1486e	On peut utiliser tous les 56 slots [n][n]
zts1487e	Fée du Feu[n][n]Plus tu portes cette fée sur toi au combat, plus la force d'attaque de son élément augmentera.[n](Au combat contre des monstres de niveau +/-15)[n]Elle renforcera en même temps la force élémentaire de ton personnage.[n]La fée peut augmenter ta puissance élémentaire de jusqu'à 70 %.[n]En revanche, elle n'accumule pas de points d'expérience en éliminant des monstres de NosVille.[n][n]
zts1488e	Fée de l'eau[n][n]Plus tu portes cette fée sur toi au combat, plus la force d'attaque de son élément augmentera.[n](Au combat contre des monstres de niveau +/-15)[n]Elle renforcera en même temps la force élémentaire de ton personnage.[n]La fée peut augmenter ta puissance élémentaire de jusqu'à 70 %.[n]En revanche, elle n'accumule pas de points d'expérience en éliminant des monstres de NosVille.[n][n]
zts1489e	Fée de la Lumière[n][n]Plus tu portes cette fée sur toi au combat, plus la force d'attaque de son élément augmentera.[n](Au combat contre des monstres de niveau +/-15)[n]Elle renforcera en même temps la force élémentaire de ton personnage.[n]La fée peut augmenter ta puissance élémentaire de jusqu'à 70 %.[n]En revanche, elle n'accumule pas d'EXP en éliminant des monstres de NosVille.[n][n]
zts1490e	Fée de l'Obscurité[n][n]Plus tu portes cette fée sur toi au combat, plus la force d'attaque de son élément augmentera.[n](Au combat contre des monstres de niveau +/-15)[n]Elle renforcera en même temps la force élémentaire de ton personnage.[n]La fée peut augmenter ta puissance élémentaire de jusqu'à 70 %.[n]En revanche, elle n'accumule pas de points d'expérience en éliminant des monstres de NosVille.[n][n]
zts1491e	Son utilisation protège, selon une certaine probabilité, du cri de mandragore.[n][n]
zts1492e	Cet objet protège avec une forte probabilité des syncopes.[n][n]
zts1493e	Son utilisation protège des saignements.[n]
zts1494e	La fée du Feu grandit jusqu'au niveau 70.[n]
zts1495e	Fée de l'eau et augmente jusqu'au niveau 70.[n]
zts1496e	Fée de Lumière et augmente jusqu'au niveau 70.[n]
zts1497e	Fée de l'Obscurité et augmente jusqu'au niveau 70.[n]
zts1498e	NotUse
zts1499e	NotUse
zts1500e	NotUse
zts1501e	NotUse
zts1502e	NotUse
zts1503e	NotUse
zts1504e	NotUse
zts1505e	Nouvelle canne 1
zts1506e	Nouvelle canne 2
zts1507e	Nouvelle armure (magique)
zts1508e	Nouvelle armure (Distance)
zts1509e	Nouvelle armure (corps à corps)
zts1510e	Lame d'épine
zts1511e	E-vision
zts1512e	Scramer noir
zts1513e	Arbalète de héros
zts1514e	Arc élémentaire
zts1515e	Arc du danger
zts1516e	Fusil magique du Vent
zts1517e	Baguette magique séraphin
zts1518e	Sceptre de Taracen
zts1519e	Bombe Aveuglante 1
zts1520e	Bombe Aveuglante 2
zts1521e	Bombe Aveuglante 3
zts1522e	Bombe Aveuglante 4
zts1523e	Bombe Aveuglante 5
zts1524e	Masque 1
zts1525e	Masque 2
zts1526e	Masque 3
zts1527e	Masque 4
zts1528e	Masque 5
zts1529e	Bombe Aveuglante 2-1
zts1530e	Bombe Aveuglante 2-2
zts1531e	Bombe Aveuglante 2-3
zts1532e	Bombe Aveuglante 2-4
zts1533e	Bombe Aveuglante 2-5
zts1534e	Gant de bataille étincelant
zts1535e	Gant de maille étincelant
zts1536e	Gant de rapidité étincelant
zts1537e	Gant de résistance étincelant
zts1538e	Gant de tempête étincelant
zts1539e	Gant de feu étincelant
zts1540e	Gant divin étincelant
zts1541e	Gant de la mort étincelant
zts1542e	Bottes de protection étincelantes
zts1543e	Bottes de métal lourd étincelantes
zts1544e	Bottes du vent étincelantes
zts1545e	Bottes d'acier étincelantes
zts1546e	Bottes de vague étincelantes
zts1547e	Bottes de feu étincelantes
zts1548e	Souliers éclairants étincelants
zts1549e	Chaussures brillantes de l'Obscurité
zts1550e	Boîte de Compensation niveau 1
zts1551e	Boîte de Compensation niveau 2
zts1552e	Boîte de Compensation niveau 3
zts1553e	Boîte de Compensation niveau 4
zts1554e	Boîte de Compensation niveau 5
zts1555e	Carte de spécialiste du Croisé
zts1556e	Carte de Berserk
zts1557e	Carte de spécialiste du Destructeur
zts1558e	Carte de spécialiste du Garde-chasse
zts1559e	Carte de spécialiste du Mage de glace
zts1560e	Carte de mage ténébreux
zts1561e	Plan de construction, 1re étape
zts1562e	Plan de construction - 2ème étape
zts1563e	Combinaison de Bottes - type A
zts1564e	Combinaison de Bottes - type B
zts1565e	Combinaison de Gants - type A
zts1566e	Combinaison de Gants - type B
zts1567e	Recette de consommables
zts1568e	Potion de guérison divine
zts1569e	Potion de mana divine
zts1570e	Potion de récupération divine
zts1571e	Potion de rétablissement des SP de base
zts1572e	Potion d'amélioration offensive
zts1573e	Potion d'amélioration défensive
zts1574e	Potion d'amélioration énergétique
zts1575e	Potion d'augmentation de l'expérience
zts1576e	Brique de construction
zts1577e	Graine de la vie
zts1578e	Oeuf de poule
zts1579e	Carpe
zts1580e	Oriharcon
zts1581e	Feuille rare
zts1582e	Gros Ver
zts1583e	Maquereau
zts1584e	Marteau
zts1585e	Hache
zts1586e	Minerai de mithril
zts1587e	Aiguille
zts1588e	Diamant
zts1589e	La branche du Bois Temporel
zts1590e	Baleine
zts1591e	Pierre mystérieuse
zts1592e	Pomme
zts1593e	Plume d'or
zts1594e	Bobine
zts1595e	Pierre du feu
zts1596e	Pierre de l'eau
zts1597e	Pierre de Proton
zts1598e	Pierre de l'Obscurité
zts1599e	Règle du métal légendaire
zts1600e	Bois Légendaire
zts1601e	Tissu légendaire
zts1602e	Cuir légendaire
zts1603e	Carrière de base
zts1604e	Scierie de base
zts1605e	Stand de tir de base
zts1606e	Stand de pêche
zts1607e	Carrière intermédiaire
zts1608e	Scierie intermédiaire
zts1609e	Stand de tir intermédiaire
zts1610e	Vivier intermédiaire
zts1611e	Carrière supérieure
zts1612e	Scierie supérieure
zts1613e	Stand de tir supérieur
zts1614e	Vivier supérieur
zts1615e	L'objet sert à construire des bâtiments utiles.[n]Double-clique pour voir la liste.[n][n]
zts1616e	Peut créer des batiments excellents. Double clic pour voir la liste[n][n]
zts1617e	Peut faire plusieurs souliers. Double-clique pour voir la liste. [n][n]
zts1618e	Peut faire plusieurs souliers. Double-clique pour voir la liste. [n][n]
zts1619e	Peut faire plusieurs gants. Double-clique pour voir la liste. [n][n]
zts1620e	Peut faire plusieurs gants. Double-clique pour voir la liste. [n][n]
zts1621e	Produis différents consommables. Double-clique pour afficher la liste.[n][n]
zts1622e	Son utilisation restaure à 100 % tes HP et ceux de ton NosMate.[n][n]
zts1623e	Son utilisation restaure à 100 % tes MP et ceux de ton NosMate.[n][n]
zts1624e	Son utilisation restaure à 100 % tes HP et MP ainsi que ceux de ton NosMate.[n][n]
zts1625e	Les points de spécialiste augmentent de 10 000.[n][n]
zts1626e	Améliore de 20% l'attaque pendant 10 minutes. [n][n]
zts1627e	Améliore de 20% l'armure pendant 10 minutes. [n][n]
zts1628e	Améliore de 20% les HP et MP pendant 10 minutes. [n][n]
zts1629e	L'expérience augmente de 20 % pendant 10 minutes.[n][n]
zts1630e	Coeur d'Altair
zts1631e	Cet objet est nécessaire pour fabriquer le cadeau de Chilsug.[n]Cet objet disparaîtra à la fin de l'évènement.[n][n]
zts1632e	Larme de Wega
zts1633e	Utilisé pour fabriquer le lot-cadeau de Chilsug. Cet objet disparaîtra à la fin de l'évènement.[n][n]
zts1634e	Plume
zts1635e	Utilisé pour fabriquer le lot-cadeau de Chilsug.[n]Cet objet disparaîtra à la fin de l'évènement.[n][n]
zts1636e	Cadeau de Chilsug
zts1637e	Offre ce cadeau pour une occasion particulière.[n]Une fois le cadeau accepté, tu bénéficieras pendant 50 minutes d'une bénédiction.[n]Cet objet disparaîtra à la fin de l'évènement.[n][n]
zts1638e	Coeur glacé
zts1639e	Pâquerette
zts1640e	Iris
zts1641e	Petite Cloche
zts1642e	Squame de Fever
zts1643e	Poussière de mites
zts1644e	Poussière d'esprits
zts1645e	Chewing-gum
zts1646e	Cornu de Rolli
zts1647e	Cristal des âmes
zts1648e	Feuille d'érable dorée
zts1649e	Pistil doré
zts1650e	Moustache de maman taupe
zts1651e	Bouteille d'eau pleine
zts1652e	Queue d'oiseau raton laveur
zts1653e	Bon de durabilité
zts1654e	On peut l'utiliser en poussant le bouton [n] "Utiliser coupon" dans la fenêtre de Durabilité [n] des mini-jeux. Quand on l'utilise, [n] il augmente la durabilité du mini-jeu sans dépenser d'or.
zts1655e	Bon de récompense
zts1656e	Si tu veux le garder, il te sera demandé au moment où tu reçois la récompense du mini-jeu.[n]Quand cet objet est utilisé, tu es doublement récompensé.[n][n][n]
zts1657e	Bon de production
zts1658e	Double-clique dessus pour l'activer.[n]Peut être utilisé quand les points de production sont à 0.[n]Restaure complètement tes points de production.
zts1659e	Double-clique dessus pour l'activer.[n]Tes points de production sont restaurés de 500.[n]
zts1660e	Sac à dos de l'aventurier (10 jours)
zts1661e	Sac à dos de l'aventurier (30 jours)
zts1662e	Sac à dos de l'aventurier (60 jours)
zts1663e	Sac à dos du partenaire (10 jours)
zts1664e	Sac à dos du partenaire (30 jours)
zts1665e	Sac à dos du partenaire (60 jours)
zts1666e	Panier pour animal de compagnie (10 jours)
zts1667e	Panier pour familier (30 jours)
zts1668e	Panier pour animal de compagnie (60 jours)
zts1669e	Kit de voyage pour 10 jours
zts1670e	Kit de voyage pour 30 jours
zts1671e	Kit de voyage pour 60 jours
zts1672e	Bénédiction d'Erenia
zts1673e	Bénédiction de l'ange gardien
zts1674e	Bénédiction de Zenas
zts1675e	Kit de bénédiction
zts1676e	Masque furieux A
zts1677e	Masque furieux B
zts1678e	Masque furieux C
zts1679e	Masque silencieux A
zts1680e	Masque silencieux B
zts1681e	Masque silencieux C
zts1682e	Bandage oculaire de l'abîme A
zts1683e	Bandage oculaire de l'abîme B
zts1684e	Cache-oeil des abysses C
zts1685e	Ratufu brun
zts1686e	Ratufu gladiateur
zts1687e	Ratufu destructeur de vermine
zts1688e	Eau trouble
zts1689e	Boîte à énigmes A
zts1690e	Boîte à énigmes B
zts1691e	Boîte à énigmes C
zts1692e	Eau polluée
zts1693e	Eau impure
zts1694e	Eau pure
zts1695e	Foie de chien de l'enfer
zts1696e	Renforcement féérique
zts1697e	Booster d'énergie
zts1698e	Permet d'utiliser la compétence suivante pendant 30 jours. [n] 12 emplacements sont ajoutés à tous les inventaires, pour une somme de 36 emplacements au total. [n] Ne peut être utilisé avec un médaillon. [n][n]
zts1699e	Ouvre ton entrepôt à tout moment [n]grâce à ton animal de compagnie.[n]Une fois l'animal décédé,[n]l'objet ne peut plus être utilisé.[n]De plus, il faut d'abord qu'un entrepôt existe dans ton Mini-pays.[n]
zts1700e	Ton NosMate obtient 50 % d'EXP en plus.[n]Sa vitesse de déplacement augmente de 2.[n](Durée : 1 heure)[n]
zts1701e	Bénédiction d'Ancelloan
zts1702e	Double l'expérience de combat et de métier gagnée durant une heure. [n]Ne peut pas être utilisé avec une médaille. [n] (Disponible pour 1 heure)
zts1703e	Eau sacrée de la résurrection
zts1704e	Permet d'utiliser la compétence suivante pendant 10 jours. [n] 12 emplacements sont ajoutés à tous les inventaires, pour une somme de 36 emplacements au total. [n] Ne peut être utilisé avec un médaillon. [n][n]
zts1705e	Permet d'utiliser la compétence suivante pendant 60 jours. [n] 12 emplacements sont ajoutés à tous les inventaires, pour une somme de 36 emplacements au total. [n] Ne peut être utilisé avec un médaillon. [n][n]
zts1706e	Loopuster
zts1707e	Pierre brisée
zts1708e	Bergarce
zts1709e	Seraphin
zts1710e	Caipe'ru
zts1711e	Eca'ra'cci
zts1712e	Baguette magique du seigneur Mukraju
zts1713e	Baguette d'Aurélius
zts1714e	Renobi'r
zts1715e	Cai'lander
zts1716e	Suphi'rudin
zts1717e	Ridy'arce
zts1718e	Gant de Roob'raph
zts1719e	Ignorer Gant
zts1720e	Souliers Trouble-brouillards
zts1721e	Bottes de Ku'ru'kelron
zts1722e	Collier de Diareason
zts1723e	Collier de Rudiselrun
zts1724e	Collier de Kedenoss
zts1725e	Anneau de Diareason
zts1726e	Anneau de Rudiselrun
zts1727e	Anneau de Kedenoss
zts1728e	Bracelet de Diareason
zts1729e	Bracelet de Rudiselrun
zts1730e	Bracelet de Kedenoss
zts1731e	Talisman Charmant
zts1732e	Casque de chevalier
zts1733e	Masque de chevalier
zts1734e	Augmente l'HP de 800 à l'utilisation.[n] Reçois un cadeau en retrouvant tous les objets N.O.S.! Disparrait à la fin de l'action spéciale. [n][n]
zts1735e	Augmente le MP de 800 à l'utilisation.[n] Reçois un cadeau en retrouvant tous les objets N.O.S.! Disparrait à la fin de l'action spéciale. [n][n]
zts1736e	Augmente HP et MP de 1000 à l'utilisation.[n] Reçois un cadeau en retrouvant tous les objets N.O.S.! Disparrait à la fin de l'action spéciale. [n][n]
zts1737e	Une fois que tu as tous les objets N.O.S., utilise cet objet pour[n] recevoir un cadeau. [n] Disparrait à la fin de l'action spéciale. [n][n]
zts1738e	Double les gains d'expérience de combat et de métier pendant une heure.[n]
zts1739e	Cet objet peut être utilisé une fois par jour et par compte.[n] Tu reçois un cadeau. [n] Disparrait à la fin de l'action spéciale. [n][n]
zts1740e	Une fois que tu as réunis tous les objets N.O.S., utilise cet objet[n] et reçois un cadeau. Cet objet peut être utilisé une fois par jour et par compte. [n]Disparrait à la fin de l'action spéciale. [n][n]
zts1741e	Pendant que le Pousse-Fée est actif, tu ne peux pas changer de fée. [n][n]
zts1742e	Te donne plusieurs cadeau lorsque tu le double-cliques. Disparrait à la fin de l'action spéciale. [n][n]
zts1743e	Gateau vert
zts1744e	Gâteau rouge
zts1745e	Gateau blanc
zts1746e	Défie le basilic !
